language,n,m,load,input_file,op,tempo_medio_ms,desvio_padrao_ms,nos_visitados
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_all_equal_update.txt,build,0.0137588,0.0017169437040155454,1999
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_duplicates_update.txt,batch_ops,1.1564786333333332,0.0432098295063099,108998
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_duplicates_update.txt,build,0.013288766666666667,0.0024900738762525503,1999
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_nearly_sorted_update.txt,batch_ops,1.3137185,0.026360120320156073,108998
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_nearly_sorted_update.txt,build,0.016923166666666666,0.0024862173190353387,1999
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_random_update.txt,batch_ops,1.0989190666666666,0.034983149974428175,108998
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_random_update.txt,build,0.0118208,0.0010241595848169435,1999
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_sorted_update.txt,batch_ops,1.1063901999999999,0.03798463153234843,108998
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_sorted_update.txt,build,0.011675766666666667,0.0007521357490888676,1999
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_all_equal_mixed_5050.txt,batch_ops,6.733557666666667,0.32916225507400193,837125
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_all_equal_mixed_5050.txt,build,0.1507405,0.04398853537766874,19999
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_duplicates_mixed_5050.txt,batch_ops,5.733133733333333,0.18732906185749518,837125
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_duplicates_mixed_5050.txt,build,0.1311669,0.04460922767100377,19999
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_nearly_sorted_mixed_5050.txt,batch_ops,5.7138792,0.20555431118729348,837125
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_nearly_sorted_mixed_5050.txt,build,0.1288724,0.041775079494837594,19999
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_random_mixed_5050.txt,batch_ops,5.905558233333333,0.2679806368331404,837125
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_random_mixed_5050.txt,build,0.1364638,0.046694209945574404,19999
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_sorted_mixed_5050.txt,batch_ops,6.1346818,0.21870410123717066,837125
cpp,10000,10000,mixed,/workspace/data/input_n10000_m10000_s42_sorted_mixed_5050.txt,build,0.14573866666666666,0.05081600229518619,19999
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_all_equal_query.txt,batch_ops,10.3371474,0.758720532117681,1394772
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_all_equal_query.txt,build,0.1778176,0.05573098217428385,19999
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_duplicates_query.txt,batch_ops,7.764362466666666,0.2741864854137923,1394772
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_duplicates_query.txt,build,0.13897096666666667,0.0566062945832628,19999
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_nearly_sorted_query.txt,batch_ops,7.6675238,0.30140004661709363,1394772
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_nearly_sorted_query.txt,build,0.1433267,0.04457809282762415,19999
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_random_query.txt,batch_ops,9.295412933333333,0.4705709238292485,1394772
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_random_query.txt,build,0.1645647,0.05174283435657273,19999
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_sorted_query.txt,batch_ops,7.7534569,0.26350833959875564,1394772
cpp,10000,10000,query,/workspace/data/input_n10000_m10000_s42_sorted_query.txt,build,0.1399678,0.04254961789398513,19999
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_all_equal_update.txt,batch_ops,4.411610066666666,0.40562451662122495,303448
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_all_equal_update.txt,build,0.18973973333333335,0.07233038282574993,19999
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_duplicates_update.txt,batch_ops,3.2564445333333336,0.22291676564857796,303448
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_duplicates_update.txt,build,0.1388411,0.07283403429874687,19999
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_nearly_sorted_update.txt,batch_ops,3.1967548333333338,0.12240463135143871,303448
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_nearly_sorted_update.txt,build,0.1295622,0.059171419256725394,19999
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_random_update.txt,batch_ops,4.3473703666666665,0.3228412483718726,303448
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_random_update.txt,build,0.18822919999999999,0.08592981938543681,19999
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_sorted_update.txt,batch_ops,3.3032003,0.21015760629455854,303448
cpp,10000,10000,update,/workspace/data/input_n10000_m10000_s42_sorted_update.txt,build,0.13929206666666666,0.058894753249676066,19999
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_all_equal_mixed_5050.txt,batch_ops,30.0294428,1.0242961672648905,4249685
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_all_equal_mixed_5050.txt,build,0.1342911,0.014900416275948528,19999
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_duplicates_mixed_5050.txt,batch_ops,36.739897166666665,1.3756350966545627,4249685
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_duplicates_mixed_5050.txt,build,0.16936823333333334,0.020576227730887242,19999
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_nearly_sorted_mixed_5050.txt,batch_ops,30.0000666,0.7772594096858167,4249685
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_nearly_sorted_mixed_5050.txt,build,0.12947076666666668,0.013693244336566823,19999
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_random_mixed_5050.txt,batch_ops,29.153440966666665,0.40897236685451716,4249685
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_random_mixed_5050.txt,build,0.12739863333333334,0.017716529477383225,19999
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_sorted_mixed_5050.txt,batch_ops,28.918015166666667,0.4518164852132877,4249685
cpp,10000,50000,mixed,/workspace/data/input_n10000_m50000_s42_sorted_mixed_5050.txt,build,0.1247008,0.00805573918952539,19999
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_all_equal_query.txt,batch_ops,39.26715106666666,1.2507309695027569,6971448
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_all_equal_query.txt,build,0.13350153333333334,0.012031186881380933,19999
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_duplicates_query.txt,batch_ops,40.2555658,2.9502281964665396,6971448
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_duplicates_query.txt,build,0.1378558,0.018588509039281456,19999
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_nearly_sorted_query.txt,batch_ops,40.5315527,3.207253771779252,6971448
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_nearly_sorted_query.txt,build,0.1371952,0.013076692185348146,19999
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_random_query.txt,batch_ops,40.71165536666667,1.3551628897254853,6971448
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_random_query.txt,build,0.13698543333333332,0.015310785172513216,19999
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_sorted_query.txt,batch_ops,38.1570941,0.915244031931841,6971448
cpp,10000,50000,query,/workspace/data/input_n10000_m50000_s42_sorted_query.txt,build,0.1360318,0.01436369241117194,19999
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_all_equal_update.txt,batch_ops,18.984765433333333,0.5892427756791904,1516356
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_all_equal_update.txt,build,0.14637256666666668,0.013961554623157204,19999
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_duplicates_update.txt,batch_ops,15.9815165,0.5221775759391696,1516356
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_duplicates_update.txt,build,0.12528886666666667,0.007049143898782821,19999
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_nearly_sorted_update.txt,batch_ops,15.882466266666666,0.3491439227015755,1516356
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_nearly_sorted_update.txt,build,0.12684623333333334,0.009614509264229451,19999
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_random_update.txt,batch_ops,15.986847633333333,0.28756995634879434,1516356
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_random_update.txt,build,0.13213026666666666,0.010474199230138962,19999
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_sorted_update.txt,batch_ops,15.894943366666666,0.5006048950006243,1516356
cpp,10000,50000,update,/workspace/data/input_n10000_m50000_s42_sorted_update.txt,build,0.1283631,0.01387775161991806,19999
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_all_equal_mixed_5050.txt,batch_ops,77.56590056666667,1.0696745899514057,10866247
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_all_equal_mixed_5050.txt,build,1.7496647,0.6359779389899789,199999
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_duplicates_mixed_5050.txt,batch_ops,77.43084613333333,0.9747667881267923,10866247
cpp,100000,100000,mixed,/workspace/data/input_n100000_m100000_s42_duplicates_mixed_5050.txt,build,1.7705376666666666,0.6415041111189435,199999
